id,name,description,price,image,dishes
1,№1,Нет,400,http://127.0.0.1:8000/media/sets/№1.jpg,"1,2,3,4,5"
2,№2,Нет,400,http://127.0.0.1:8000/media/sets/№2.jpg,"6,7,8,9,4,5"
3,№3,Нет,400,http://127.0.0.1:8000/media/sets/№3.jpg,"10,11,12,13,4,5"
4,№4,Нет,500,http://127.0.0.1:8000/media/sets/№4.jpg,"14,9,15,26,5,16"
5,№5,Нет,500,http://127.0.0.1:8000/media/sets/№5.jpg,"17,18,19,20,5,16"
6,№6,Нет,500,http://127.0.0.1:8000/media/sets/№6.jpg,"1,21,22,23,5,16,24"
7,№7,Нет,700,http://127.0.0.1:8000/media/sets/№7.jpg,"25,26,7,23,27,4,5"
8,№8,Нет,700,http://127.0.0.1:8000/media/sets/№8.jpg,"28,9,29,30,4,5"
9,№9,Нет,700,http://127.0.0.1:8000/media/sets/№9.jpg,"31,11,32,8,33,4,5"
